index,date,open,high,low,close,volume
8132,2019-02-25,36.88,37.3075,36.8275,36.8975,21873358.0
8133,2019-02-26,36.7675,37.165,36.6325,36.9225,17070211.0
8134,2019-02-27,36.6425,37.09,36.5225,37.0575,27835389.0
8135,2019-02-28,36.92,37.0675,36.57,36.6275,28215416.0
8136,2019-03-01,36.91,37.1275,36.5625,37.0825,25886167.0
8137,2019-03-04,37.2625,37.7775,36.8325,37.3025,27436203.0
8138,2019-03-05,37.325,37.34,36.975,37.2225,19737419.0
8139,2019-03-06,37.0075,37.2125,36.825,36.97,20810384.0
8140,2019-03-07,36.8075,36.95,36.345,36.465,24796374.0
8141,2019-03-08,35.92,36.6075,35.715,36.5675,23999358.0
8142,2019-03-11,37.2125,38.12,37.1775,38.065,32011034.0
8143,2019-03-12,38.34,39.0075,38.1825,38.5675,32467584.0
8144,2019-03-13,38.9025,39.165,38.57,38.7675,31032524.0
8145,2019-03-14,39.315,39.365,38.98,39.2725,23579508.0
8146,2019-03-15,39.5525,40.1725,39.275,39.87,39042912.0
8147,2019-03-18,39.79,40.4375,39.7875,40.345,26219832.0
8148,2019-03-19,40.4275,40.5875,39.82,39.9725,31646369.0
8149,2019-03-20,39.8975,40.7125,39.5225,40.38,31035231.0
8150,2019-03-21,40.845,42.4225,40.7925,42.1125,51034237.0
8151,2019-03-22,42.175,42.7625,41.035,41.1025,42407666.0
8152,2019-03-25,41.2175,41.335,39.99,40.525,43845293.0
8153,2019-03-26,41.255,41.56,39.485,40.0375,49800538.0
8154,2019-03-27,40.5275,40.78,39.9775,40.4575,29848427.0
8155,2019-03-28,40.5775,40.73,40.2225,40.52,20780363.0
8156,2019-03-29,40.7975,40.86,40.475,40.8275,23563961.0
8157,2019-04-01,41.25,41.26,40.435,41.15,27861964.0
8158,2019-04-02,41.1125,41.955,41.1025,41.845,22765732.0
8159,2019-04-03,41.6525,42.465,41.6275,42.1775,23271830.0
8160,2019-04-04,42.0375,42.4325,41.625,42.2625,19114275.0
8161,2019-04-05,42.4525,42.615,42.3225,42.59,18526644.0
8162,2019-04-08,42.445,43.3975,42.425,43.365,25881697.0
8163,2019-04-09,43.42,44.0525,43.1475,43.215,35768237.0
8164,2019-04-10,43.01,43.525,42.885,43.495,21695288.0
8165,2019-04-11,43.5525,43.59,42.95,43.0775,20900808.0
8166,2019-04-12,43.14,43.375,42.3925,43.0575,27760668.0
8167,2019-04-15,42.985,43.3025,42.8425,43.1475,17536646.0
8168,2019-04-16,43.205,43.6825,42.98,43.1525,25696385.0
8169,2019-04-17,43.225,44.185,42.9925,44.1225,28906780.0
8170,2019-04-18,44.2025,44.3775,43.97,44.305,24195766.0
8171,2019-04-22,44.0475,44.575,43.925,44.4725,19439545.0
8172,2019-04-23,44.4475,45.2775,44.315,45.21,23322991.0
8173,2019-04-24,45.18,45.46,45.1025,45.13,17540609.0
8174,2019-04-25,45.0475,45.28,44.62,44.66,18543206.0
8175,2019-04-26,44.565,44.59,43.87,44.415,18649102.0
8176,2019-04-29,44.44,44.8325,44.305,44.4925,22204716.0
8177,2019-04-30,44.105,44.19,43.1175,43.5075,46534923.0
8178,2019-05-01,45.81,47.1675,45.6475,45.97,64827328.0
8179,2019-05-02,45.8,46.5025,45.3725,45.6275,31996324.0
8180,2019-05-03,46.0625,46.3,45.8975,46.2775,20892378.0
8181,2019-05-06,44.4125,45.55,44.215,45.46,32443113.0
8182,2019-05-07,44.81,45.195,43.5475,44.055,38763698.0
8183,2019-05-08,43.815,44.675,43.7775,44.065,26339504.0
8184,2019-05-09,43.44,43.76,42.505,43.52,34908607.0
8185,2019-05-10,42.8875,43.245,41.725,42.8275,41208712.0
8186,2019-05-13,40.46,40.9025,39.245,39.9625,57430623.0
8187,2019-05-14,40.135,40.9575,39.885,40.6975,36529677.0
8188,2019-05-15,40.1,41.47,40.0375,41.2625,26544718.0
8189,2019-05-16,41.01,41.65,40.7425,41.0525,33031364.0
8190,2019-05-17,40.265,41.2575,40.2225,40.7825,32879090.0
8191,2019-05-20,39.4125,39.62,38.6025,39.305,38612290.0
8192,2019-05-21,39.8375,40.5325,39.7075,40.1825,28364848.0
8193,2019-05-22,39.6975,39.96,39.17,39.2275,29748556.0
8194,2019-05-23,38.4825,38.6675,37.985,38.4475,36529736.0
8195,2019-05-24,38.5825,39.065,38.1875,38.275,23714686.0
8196,2019-05-28,38.2625,38.68,38.01,38.09,27948160.0
8197,2019-05-29,37.6375,38.37,37.5325,37.8775,28481165.0
8198,2019-05-30,38.02,38.34,37.7,38.1075,21218412.0
8199,2019-05-31,37.59,38.03,37.28,37.3,27043584.0
8200,2019-06-03,37.4325,38.0125,36.1,36.8575,40396069.0
8201,2019-06-04,37.3925,38.49,37.1625,38.4425,30967961.0
8202,2019-06-05,39.6025,39.78,38.8175,39.1675,29773427.0
8203,2019-06-06,39.3025,39.9,39.07,39.8375,22526311.0
8204,2019-06-07,40.16,41.5125,39.975,41.07,30684393.0
8205,2019-06-10,41.485,42.375,41.4375,41.6775,26220851.0
8206,2019-06-11,42.2475,42.5325,41.9325,42.235,26932882.0
8207,2019-06-12,42.02,42.525,41.88,42.08,18253189.0
8208,2019-06-13,42.2075,42.73,41.9325,42.07,21674625.0
8209,2019-06-14,41.42,41.93,41.1075,41.7175,18761474.0
8210,2019-06-17,41.7575,42.2725,41.575,42.005,14669144.0
8211,2019-06-18,42.545,43.605,42.335,43.145,26551004.0
8212,2019-06-19,43.4525,43.5025,42.86,43.0,21124235.0
8213,2019-06-20,43.625,43.685,43.04,43.3975,21513988.0
8214,2019-06-21,43.2325,43.745,43.07,43.2275,47800589.0
8215,2019-06-24,43.1675,43.5725,43.075,43.1775,18220421.0
8216,2019-06-25,43.14,43.3475,42.355,42.425,21070334.0
8217,2019-06-26,42.975,43.78,42.87,43.4825,26067512.0
8218,2019-06-27,43.605,43.925,43.425,43.4675,20899717.0
8219,2019-06-28,43.2025,43.4075,42.795,43.0125,31110642.0
8220,2019-07-01,44.325,44.655,43.695,43.92,27316739.0
8221,2019-07-02,43.885,44.315,43.8725,44.215,16935217.0
8222,2019-07-03,44.3525,44.6425,44.205,44.635,11362045.0
8223,2019-07-05,44.37,44.8025,44.2575,44.59,17265518.0
8224,2019-07-08,43.735,43.8825,43.135,43.5375,25338628.0
8225,2019-07-09,43.3325,43.91,43.235,43.8425,20578015.0
8226,2019-07-10,43.995,44.465,43.9225,44.34,17897138.0
8227,2019-07-11,44.36,44.63,43.96,43.97,20191842.0
8228,2019-07-12,44.145,44.5325,44.0825,44.3575,17595212.0
8229,2019-07-15,44.555,45.0,44.5325,44.835,16947420.0
8230,2019-07-16,44.68,45.06,44.4075,44.6575,16866816.0
8231,2019-07-17,44.545,44.805,44.35,44.37,14107450.0
8232,2019-07-18,44.5325,45.0025,44.4575,44.9475,18582161.0
8233,2019-07-19,44.98,45.1575,44.1225,44.18,20929307.0
8234,2019-07-22,44.445,45.34,44.435,45.3375,22277932.0
8235,2019-07-23,45.6475,45.76,45.355,45.7425,18355210.0
8236,2019-07-24,45.45,45.82,45.325,45.7,14991567.0
8237,2019-07-25,45.755,45.8425,45.215,45.2875,13909562.0
8238,2019-07-26,45.4025,45.965,45.3175,45.4675,17618874.0
8239,2019-07-29,45.6475,46.1925,45.6425,45.9525,21673389.0
8240,2019-07-30,45.7225,46.0725,45.36,45.7275,33935718.0
8241,2019-07-31,47.6375,48.875,46.3575,46.7925,69281361.0
8242,2019-08-01,47.0075,48.04,45.2175,45.64,54017922.0
8243,2019-08-02,44.915,45.14,43.94,44.5375,40862122.0
8244,2019-08-05,43.03,43.195,41.6775,41.8675,52392969.0
8245,2019-08-06,42.61,43.05,42.0425,42.7825,35824787.0
8246,2019-08-07,42.385,43.4225,41.9875,43.2925,33364400.0
8247,2019-08-08,43.5825,44.415,43.38,44.39,27009523.0
8248,2019-08-09,44.05,44.415,43.5475,43.9725,24619746.0
8249,2019-08-12,43.63,44.2375,43.5125,43.845,22481889.0
8250,2019-08-13,43.98,46.76,43.9325,45.9675,47539786.0
8251,2019-08-14,44.515,45.335,44.3725,44.4125,36547443.0
8252,2019-08-15,44.59,45.01,43.6425,44.16,27883363.0
8253,2019-08-16,44.795,45.515,44.685,45.35,28813624.0
8254,2019-08-19,46.38,46.9075,46.2325,46.3125,24431915.0
8255,2019-08-20,46.445,47.0625,46.305,46.315,26919529.0
8256,2019-08-21,46.9725,47.1375,46.625,46.885,21564747.0
8257,2019-08-22,47.0225,47.335,46.4125,46.84,22267819.0
8258,2019-08-23,46.0825,46.7375,43.975,44.385,46882843.0
8259,2019-08-26,45.19,45.5225,44.99,45.3475,26066130.0
8260,2019-08-27,45.69,45.8625,44.6075,44.765,25897344.0
8261,2019-08-28,44.75,45.155,44.555,45.1075,15957632.0
8262,2019-08-29,45.85,46.055,45.39,45.9775,21007652.0
8263,2019-08-30,46.265,46.3375,45.525,45.91,21162561.0
8264,2019-09-03,45.3325,45.47,44.78,45.15,20059574.0
8265,2019-09-04,45.8225,46.095,45.555,46.0225,19216820.0
8266,2019-09-05,46.725,47.2175,46.6025,47.045,23946984.0
8267,2019-09-06,47.2375,47.33,46.8525,47.04,19362294.0
8268,2019-09-09,47.435,47.835,46.4925,47.2675,27309401.0
8269,2019-09-10,47.19,47.92,46.6525,47.9,31777931.0
8270,2019-09-11,48.2425,49.6525,48.1575,49.6225,44289646.0
8271,2019-09-12,49.925,50.33,49.44,49.4975,32226669.0
8272,2019-09-13,48.725,48.9225,47.98,48.4125,39763296.0
8273,2019-09-16,48.1575,48.7575,48.115,48.7,21158141.0
8274,2019-09-17,48.715,48.93,48.505,48.9,18386468.0
8275,2019-09-18,48.99,49.4375,48.585,49.4175,25643093.0
8276,2019-09-19,49.2275,49.665,48.8175,48.965,22187876.0
8277,2019-09-20,49.07,49.365,48.0925,48.1575,57977094.0
8278,2019-09-23,48.4625,48.685,48.1375,48.405,19419648.0
8279,2019-09-24,48.9825,49.3475,48.0225,48.145,31434367.0
8280,2019-09-25,48.3625,49.1,48.01,48.9825,22481006.0
8281,2019-09-26,48.725,48.96,48.4325,48.6975,19088312.0
8282,2019-09-27,48.86,48.965,48.045,48.43,25361285.0
8283,2019-09-30,48.95,49.87,48.9225,49.7175,26318583.0
8284,2019-10-01,49.9925,50.78,49.775,49.8725,36187163.0
8285,2019-10-02,49.49,49.62,48.2075,48.465,35767257.0
8286,2019-10-03,48.3325,48.965,47.5075,48.93,30352686.0
8287,2019-10-04,50.135,50.5975,49.6975,50.4775,34755553.0
8288,2019-10-07,50.2925,51.2075,50.185,50.49,30889269.0
8289,2019-10-08,50.18,50.74,49.8075,49.825,29282700.0
8290,2019-10-09,50.4825,50.6725,50.135,50.4825,19029424.0
8291,2019-10-10,50.7075,51.335,50.55,51.2475,28962984.0
8292,2019-10-11,51.9625,53.135,51.8025,52.7775,41990210.0
8293,2019-10-14,52.45,53.2575,52.3925,52.6925,24413484.0
8294,2019-10-15,52.8225,53.1375,52.445,52.555,23040483.0
8295,2019-10-16,52.0675,52.535,52.025,52.3175,19286694.0
8296,2019-10-17,52.4975,52.7625,52.105,52.545,17272897.0
8297,2019-10-18,52.3725,53.12,52.2975,52.8275,24377166.0
8298,2019-10-21,53.105,53.9725,53.055,53.8525,22367483.0
8299,2019-10-22,54.015,54.275,53.63,53.715,22684001.0
8300,2019-10-23,54.25,54.535,54.03,54.52,19932545.0
8301,2019-10-24,54.8525,54.925,54.1775,54.62,17916255.0
8302,2019-10-25,54.515,55.4075,54.445,55.37,18369296.0
8303,2019-10-28,55.58,56.0375,55.405,55.9875,24143241.0
8304,2019-10-29,55.9675,56.1625,54.3675,54.5475,35709867.0
8305,2019-10-30,54.915,55.05,54.0275,54.54,31130522.0
8306,2019-10-31,55.535,56.0175,53.04,55.915,34790520.0
8307,2019-11-01,56.11,57.7075,56.015,57.68,37781334.0
8308,2019-11-04,58.0575,58.1875,57.57,58.1,25817952.0
8309,2019-11-05,57.9875,58.2725,57.805,58.0075,19974427.0
8310,2019-11-06,57.9175,58.0975,57.5675,58.035,18966124.0
8311,2019-11-07,58.6025,59.005,58.445,58.775,23735083.0
8312,2019-11-08,58.59,59.0275,58.13,58.9525,17520495.0
8313,2019-11-11,58.4925,59.535,58.4875,59.4675,20507459.0
8314,2019-11-12,59.305,59.615,59.1475,59.4075,21847226.0
8315,2019-11-13,59.2,60.1125,59.185,60.035,25817593.0
8316,2019-11-14,59.855,60.1375,59.4425,59.5775,22395556.0
8317,2019-11-15,59.8375,60.3625,59.67,60.3575,25093666.0
8318,2019-11-18,60.3675,60.775,59.975,60.6925,21700897.0
8319,2019-11-19,60.8925,60.9175,60.265,60.49,19069597.0
8320,2019-11-20,60.3025,60.4375,59.0175,59.715,26609919.0
8321,2019-11-21,59.84,59.92,59.2125,59.42,30348778.0
8322,2019-11-22,59.565,59.7125,59.1275,59.3625,16331263.0
8323,2019-11-25,59.595,60.5275,59.5475,60.51,21029517.0
8324,2019-11-26,60.6525,60.7075,59.5425,59.99,26334882.0
8325,2019-11-27,60.3125,60.9125,60.245,60.8775,16386122.0
8326,2019-11-29,60.5675,60.9175,60.3925,60.73,11654363.0
8327,2019-12-02,60.735,60.98,59.78,59.9575,23693550.0
8328,2019-12-03,58.495,58.8,57.99,58.78,29377268.0
8329,2019-12-04,59.185,59.745,59.0875,59.3525,16810388.0
8330,2019-12-05,59.865,60.39,59.6,60.3125,18661343.0
8331,2019-12-06,60.7875,61.6675,60.7425,61.595,26547493.0
8332,2019-12-09,61.4175,61.6175,60.145,60.6475,32182645.0
8333,2019-12-10,61.0675,61.435,60.3825,61.0375,22632383.0
8334,2019-12-11,61.12,61.6925,61.0425,61.61,19723391.0
8335,2019-12-12,60.8625,62.0575,60.7475,61.7825,34437042.0
8336,2019-12-13,61.7825,62.7425,61.65,62.705,33432806.0
8337,2019-12-16,63.1675,64.115,63.1625,63.8825,32081105.0
8338,2019-12-17,63.81,64.36,63.6175,64.02,28575798.0
8339,2019-12-18,63.8675,64.3925,63.6975,63.8525,29024687.0
8340,2019-12-19,63.7925,64.2125,63.655,63.9225,24626947.0
8341,2019-12-20,64.475,64.58,63.5575,63.7775,69032743.0
8342,2019-12-23,64.05,64.98,64.01,64.9175,24677883.0
8343,2019-12-24,65.09,65.14,64.6475,64.985,12119714.0
8344,2019-12-26,65.1225,66.4125,65.0925,66.395,23334004.0
8345,2019-12-27,66.6975,67.41,65.9475,66.3675,36592936.0
8346,2019-12-30,66.2825,67.09,65.2225,66.7975,36059614.0
8347,2019-12-31,66.4,67.3375,66.2975,67.33,25247625.0
8348,2020-01-02,67.9775,69.0675,67.715,69.005,33911864.0
8349,2020-01-03,68.205,69.0625,68.0425,68.275,36633878.0
8350,2020-01-06,67.365,68.9075,67.105,68.8675,29644644.0
8351,2020-01-07,68.8775,69.1425,68.2875,68.515,27877655.0
8352,2020-01-08,68.2075,70.0275,68.2075,69.715,33090946.0
8353,2020-01-09,70.7275,71.525,70.4675,71.325,42621542.0
8354,2020-01-10,71.5675,72.085,70.98,71.5,35217272.0
8355,2020-01-13,71.8275,73.185,71.705,73.1575,30521722.0
8356,2020-01-14,73.0925,73.31,71.96,72.0875,40653457.0
8357,2020-01-15,71.88,72.7925,71.305,71.7525,30480882.0
8358,2020-01-16,72.315,72.8425,71.94,72.7275,27207254.0
8359,2020-01-17,72.985,73.6025,72.6675,73.6,34454117.0
8360,2020-01-21,73.215,73.6725,72.9175,73.06,27710814.0
8361,2020-01-22,73.5625,73.915,73.245,73.3425,25458115.0
8362,2020-01-23,73.3975,73.8075,72.83,73.725,26117993.0
8363,2020-01-24,73.98,74.75,73.2975,73.495,36634380.0
8364,2020-01-27,71.4325,71.86,70.1375,71.155,40485005.0
8365,2020-01-28,72.0675,73.5175,71.965,73.34,40558486.0
8366,2020-01-29,75.03,75.88,74.2625,75.0025,54149928.0
8367,2020-01-30,74.0525,74.94,73.605,74.885,31685808.0
8368,2020-01-31,74.15,74.5875,70.99,71.295,49897096.0
8369,2020-02-03,69.9925,72.29,69.4725,71.0825,43496401.0
8370,2020-02-04,72.745,73.8275,72.325,73.63,34154134.0
8371,2020-02-05,74.7975,75.1075,73.655,74.28,29706718.0
8372,2020-02-06,74.56,75.2225,73.9825,75.22,26356385.0
8373,2020-02-07,74.7025,74.96,73.61,74.1175,29421012.0
8374,2020-02-10,72.655,74.4975,72.5725,74.4975,27337215.0
8375,2020-02-11,75.01,75.085,73.7875,74.0125,23580780.0
8376,2020-02-12,74.4775,75.915,74.4775,75.91,28432573.0
8377,2020-02-13,75.1575,75.665,74.9475,75.3275,23686892.0
8378,2020-02-14,75.295,75.605,74.8225,75.3475,20028447.0
8379,2020-02-18,72.95,74.0475,72.7625,73.86,38190545.0
8380,2020-02-19,74.11,75.2525,74.11,75.015,23495991.0
8381,2020-02-20,74.7675,75.2725,73.6625,74.185,25141489.0
8382,2020-02-21,73.765,74.2225,71.735,72.3725,32426415.0
8383,2020-02-24,68.425,70.155,66.4175,68.655,55548828.0
8384,2020-02-25,69.3475,69.7425,65.6425,66.13,57668364.0
8385,2020-02-26,65.7425,68.58,65.735,67.2725,49678431.0
8386,2020-02-27,64.385,65.61,62.35,62.49,80151381.0
8387,2020-02-28,58.425,63.7125,58.2025,62.45,106721230.0
8388,2020-03-02,64.68,69.47,63.54,68.8125,85349339.0
8389,2020-03-03,70.0275,70.11,65.56,66.44,79868852.0
8390,2020-03-04,68.22,69.96,67.3925,69.795,54794568.0
8391,2020-03-05,67.99,68.9975,66.9625,67.34,46893219.0
8392,2020-03-06,64.61,66.815,64.4175,66.3675,56544246.0
8393,2020-03-09,60.0475,63.6325,59.86,60.6525,71686208.0
8394,2020-03-10,63.395,65.72,61.4525,65.445,71322520.0
8395,2020-03-11,63.4575,64.415,62.075,62.9675,64094970.0
8396,2020-03-12,58.095,61.61,56.11,56.1675,104618517.0
8397,2020-03-13,60.3325,64.09,57.3475,63.6025,92683032.0
8398,2020-03-16,54.5975,58.88,54.11,54.6625,80605865.0
8399,2020-03-17,55.9875,58.5125,53.71,57.325,81013965.0
8400,2020-03-18,54.0525,56.61,53.39,55.7775,75058406.0
8401,2020-03-19,55.9575,57.32,54.7625,55.305,67964255.0
8402,2020-03-20,55.905,57.0675,51.11,51.42,100423346.0
8403,2020-03-23,51.13,51.235,47.2625,50.2025,84188208.0
8404,2020-03-24,53.2,56.0325,52.685,55.83,71882773.0
